"ID","Description","Category","GeneRatio","num","denom","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:0140546","defense response to symbiont","immune response",0.0430107526881721,8,186,"304/22777",0.00362330228022938,0.0407079209795909,0.032039364614515,"Gbp4/Gbp3/Tnfaip3/Dtx3l/Ifitm6/Mov10/Treml4/Il12rb1",8,"Blood"
"GO:0019369","arachidonic acid metabolic process","metabolism",0.021505376344086,4,186,"79/22777",0.00401654945771951,0.043052104654881,0.0338843656287812,"Alox15/Ptgs2/Ptgs1/Dagla",4,"Blood"
"GO:0006631","fatty acid metabolic process","metabolism",0.0752351097178683,72,957,"456/22777",1.77109642228287E-22,9.26283428853942E-19,6.91846191904393E-19,"Cyp1b1/Akr1c6/Cyp7a1/Abcb11/Fads6/Avpr1a/Akr1c14/Hao1/Fmo1/Gstm4/Cyp2j5/Gstm7/Cyp2u1/Akr1c20/Cyp2b9/Cyp2c68/Acsl1/Ces1e/Hao2/Echdc3/Faah/Ptgs1/Fmo2/Cyp2f2/Ces1d/Cyp4f14/Akr1c18/Acbd4/Fmo4/Rgn/Cyp2c67/Trib3/Cyp2d26/Acnat1/Sphk1/Hacd4/Eif6/Fads3/Fads1/Ces1g/Cyp2c50/Cyp2a4/Prkag2/Il1b/Angptl3/Cyp2c55/Cyp2c54/Pla2g15/Acsm5/Lpin1/Acot6/Acot4/Cyp2c40/Acsm1/Abcd2/Cyp2b13/Pdk2/Ppargc1a/Cyp2c23/Fabp4/Cyp2c29/Hadh/Irs1/Abcd1/Cyp1a2/Asah2/Ces1f/Lpl/Ephx1/Acot2/Cyp2c37/Mgll",72,"Liver"
"GO:0008202","steroid metabolic process","metabolism",0.0585161964472309,56,957,"350/22777",5.33706870464204E-18,1.39564346626389E-14,1.04241378752245E-14,"Sec14l2/Sdr9c7/Cyp1b1/Hsd3b3/Fmo5/Akr1c6/Cyp7a1/Ttc39b/Abcb11/Tiparp/Fgf1/Dhcr24/Akr1c14/Dkk3/Sult2a1/Cat/Bdh1/Akr1d1/Slc37a4/Akr1c20/Cyp2b9/Ces1e/Hsd17b6/Adm/Ugt2b5/Ugt2b35/Ces1d/Akr1c18/Sult2a3/Il1a/Fgf23/Srd5a1/Prox1/Ces1g/Pctp/Abcg1/Ugt2b34/Aqp8/Ch25h/Ugt2b36/Angptl3/Hsd3b2/Lepr/Cyp39a1/Kit/Sult2a8/Cyp2b13/Ppargc1a/Cyp3a11/Ugt2b1/Wnt4/Vldlr/Igf2/Cyp1a2/Ces1f/Cyp3a25",56,"Liver"
"GO:0120254","olefinic compound metabolic process","metabolism",0.0397074190177638,38,957,"169/22777",1.19150572889707E-17,1.60280345276807E-14,1.19714272179175E-14,"Sdr9c7/Cyp1b1/Akr1c6/Akr1c14/Dkk3/Cyp2j5/Gstm7/Cyp2u1/Akr1c20/Cyp2b9/Cyp2c68/Hsd17b6/Dhrs3/Ptgs1/Adh1/Cyp2f2/Cyp4f14/Akr1c18/Cyp2c67/Cyp2d26/Sphk1/Srd5a1/Fads1/Cyp2c50/Cyp2a4/Cyp2c55/Cyp2c54/Cyp2c40/Bco2/Cyp2b13/Ppargc1a/Cyp2c23/Cyp2c29/Wnt4/Cyp1a2/Ephx1/Cyp2c37/Mgll",38,"Liver"
"GO:0006805","xenobiotic metabolic process","metabolism",0.0344827586206897,33,957,"126/22777",1.22585350116104E-17,1.60280345276807E-14,1.19714272179175E-14,"Cyp1b1/Fmo5/Abcb11/Fmo1/Gstm4/Cyp2j5/Sult2a1/Gstm7/Cyp2u1/Cyp2b9/Cyp2c68/Acsl1/Tpmt/Fmo2/Cyp2f2/Sult2a3/Fmo4/Cyp2c67/Cyp2d26/Cyp2c50/Gsta3/Cyp2a4/Cyp2c55/Cyp2c54/Sult2a8/Cyp2c40/Cyp2b13/Cyp2c23/Cyp2c29/Cyp3a11/Ugt2b1/Cyp1a2/Cyp2c37",33,"Liver"
"GO:0071466","cellular response to xenobiotic stimulus","cell",0.0397074190177638,38,957,"183/22777",2.02559956309264E-16,2.1187771429949E-13,1.58252631129195E-13,"Cyp1b1/Fmo5/Abcb11/Serpine1/Fmo1/Gstm4/Cyp2j5/Sult2a1/Gstm7/Pde4b/Cyp2u1/Cyp2b9/Cyp2c68/Acsl1/Tpmt/Fmo2/Cyp2f2/Sult2a3/Fmo4/Cyp2c67/Cyp2d26/Cyp2c50/Gsta3/Cyp2a4/Il1b/Cyp2c55/Cyp2c54/Sult2a8/Slamf8/Cyp2c40/Cyp2b13/Cyp2c23/Cyp2c29/Cyp3a11/Ugt2b1/Cyp1a2/Myc/Cyp2c37",38,"Liver"
"GO:0009410","response to xenobiotic stimulus","cell",0.0532915360501567,51,957,"332/22777",9.38041984845172E-16,8.17659930123375E-13,6.10714702764988E-13,"Cyp1b1/Fmo5/Akr1c6/Abcb11/Serpine1/Fmo1/Gstm4/Cyp2j5/Sult2a1/Gstm7/Pde4b/Cyp2u1/Akr1c20/Serpina7/Kdr/Cyp2b9/Cyp2c68/Acsl1/Tpmt/Fmo2/Cyp2f2/Sult2a3/Fmo4/Cyp2c67/Cyp2d26/Gata4/Srd5a1/Cyp2c50/Gsta3/Cyp2a4/Il1b/Cyp2c55/Jun/Inhba/Mmp7/Cyp2c54/Sult2a8/Slamf8/Cyp2c40/Cyp2b13/Cyp2c23/Cyp2c29/Hadh/Cyp3a11/Ugt2b1/Shank2/Igf2/Cyp1a2/P2rx7/Myc/Cyp2c37",51,"Liver"
"GO:0033559","unsaturated fatty acid metabolic process","metabolism",0.0334378265412748,32,957,"139/22777",2.16507111077188E-15,1.61761741561956E-12,1.20820735219165E-12,"Cyp1b1/Akr1c6/Avpr1a/Akr1c14/Cyp2j5/Gstm7/Cyp2u1/Akr1c20/Cyp2b9/Cyp2c68/Ptgs1/Cyp2f2/Cyp4f14/Akr1c18/Cyp2c67/Cyp2d26/Sphk1/Fads1/Cyp2c50/Cyp2a4/Il1b/Cyp2c55/Cyp2c54/Cyp2c40/Abcd2/Cyp2b13/Cyp2c23/Cyp2c29/Abcd1/Ephx1/Cyp2c37/Mgll",32,"Liver"
"GO:0006690","icosanoid metabolic process","metabolism",0.03239289446186,31,957,"147/22777",7.69714934565706E-14,4.13928492604475E-11,3.09165469669962E-11,"Cyp1b1/Akr1c6/Avpr1a/Akr1c14/Cyp2j5/Cyp2u1/Akr1c20/Cyp2b9/Cyp2c68/Mgst3/Ptgs1/Cyp2f2/Cyp4f14/Akr1c18/Cyp2c67/Cyp2d26/Sphk1/Fads1/Cyp2c50/Cyp2a4/Il1b/Cyp2c55/Cyp2c54/Cyp2c40/Cyp2b13/Cyp2c23/Cyp2c29/Tlr2/Ephx1/Cyp2c37/Mgll",31,"Liver"
"GO:0001676","long-chain fatty acid metabolic process","metabolism",0.0303030303030303,29,957,"129/22777",8.59482738093004E-14,4.13928492604475E-11,3.09165469669962E-11,"Cyp1b1/Gstm4/Cyp2j5/Gstm7/Cyp2u1/Cyp2b9/Cyp2c68/Acsl1/Ptgs1/Cyp2f2/Cyp4f14/Cyp2c67/Cyp2d26/Sphk1/Fads1/Cyp2c50/Cyp2a4/Cyp2c55/Cyp2c54/Acot4/Cyp2c40/Cyp2b13/Cyp2c23/Cyp2c29/Abcd1/Asah2/Ephx1/Cyp2c37/Mgll",29,"Liver"
"GO:0006066","alcohol metabolic process","metabolism",0.0512016718913271,49,957,"346/22777",8.65360480523079E-14,4.13928492604475E-11,3.09165469669962E-11,"Sec14l2/Sdr9c7/Cyp1b1/Fmo5/Akr1c6/Cyp7a1/Ttc39b/Pcbd1/Gpd1/Fgf1/Dhcr24/Akr1c14/Hao1/Dkk3/Sord/Sult2a1/Cat/Akr1d1/Akr1c20/Ces1e/Hsd17b6/Dhrs3/Adh1/Miox/Sptssb/Ces1d/Akr1c18/Sult2a3/Sphk1/Slc37a2/Chka/Ces1g/Pctp/Abcg1/Aqp8/Ch25h/Angptl3/Lepr/Cyp39a1/Sult2a8/Slc5a3/Pth1r/Wnt4/Vldlr/Cyp1a2/Asah2/Ces1f/Ephx1/Isyna1",49,"Liver"
"GO:0019369","arachidonic acid metabolic process","metabolism",0.0240334378265413,23,957,"79/22777",8.7059529993293E-14,4.13928492604475E-11,3.09165469669962E-11,"Cyp1b1/Cyp2j5/Cyp2u1/Cyp2b9/Cyp2c68/Ptgs1/Cyp2f2/Cyp4f14/Cyp2c67/Cyp2d26/Sphk1/Fads1/Cyp2c50/Cyp2a4/Cyp2c55/Cyp2c54/Cyp2c40/Cyp2b13/Cyp2c23/Cyp2c29/Ephx1/Cyp2c37/Mgll",23,"Liver"
